game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,167,127146.684,123810.622
2,Red,no_legal_moves,97,74654.638,72340.994
3,Black,no_legal_moves,60,45732.31,45346.321
4,Black,no_legal_moves,72,54868.951,54323.655
5,Red,no_legal_moves,75,58149.493,55048.798
6,Black,no_legal_moves,46,35153.299,34739.435
7,Black,no_legal_moves,24,18244.816,18203.222
8,Black,no_legal_moves,210,159150.172,158383.468
9,Black,long_check,57,44378.076,42391.181
10,Black,no_legal_moves,26,19815.99,19667.72
11,Red,no_legal_moves,209,159175.501,156505.027
12,Red,no_legal_moves,125,96056.317,93471.746
13,Black,no_legal_moves,12,9168.898,9083.162
14,Red,no_legal_moves,127,95495.569,92896.412
15,Black,no_legal_moves,152,115221.167,114657.78
16,Black,no_legal_moves,208,148187.513,145600.044
17,Black,no_legal_moves,68,51598.953,51311.917
18,Black,no_legal_moves,68,51597.859,51394.689
19,Black,long_check,97,74597.228,72393.314
20,Red,no_legal_moves,169,128703.438,126582.79
