game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,69,26566.638,25938.314
2,Red,no_legal_moves,69,26556.788,25870.586
3,Black,long_check,41,14873.58,14646.651
4,Red,no_legal_moves,73,27939.843,27572.876
5,Black,no_legal_moves,124,48887.324,49235.727
6,Red,no_legal_moves,97,37761.711,37141.049
7,Red,no_legal_moves,183,72572.248,71842.269
8,Red,no_legal_moves,129,51484.801,50963.454
9,Black,no_legal_moves,24,7435.3,8200.139
10,Red,no_legal_moves,237,87098.616,86471.573
11,Red,no_legal_moves,23,7488.009,7318.428
12,Black,long_check,89,34600.589,34044.419
13,Red,no_legal_moves,159,63447.131,62204.938
14,Red,no_legal_moves,71,27245.491,26834.161
15,Red,no_legal_moves,265,105586.855,102268.068
16,Red,no_legal_moves,109,42497.865,42024.827
17,Red,no_legal_moves,97,38584.762,38137.425
18,Red,no_legal_moves,55,20729.564,20230.626
19,Black,long_chase,115,45765.798,45214.895
20,Black,long_check,151,60081.793,58880.611
