game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,71,54854.267,252.725
2,Red,no_legal_moves,203,155794.243,404.176
3,Red,no_legal_moves,53,41244.057,244.358
4,Red,no_legal_moves,117,90114.228,272.576
5,Red,no_legal_moves,173,132463.307,349.256
6,Red,no_legal_moves,83,64036.034,243.129
7,Black,long_check,177,135723.814,308.018
8,Red,no_legal_moves,47,36635.716,164.337
9,Red,no_legal_moves,51,39709.996,202.776
10,Red,no_legal_moves,109,83943.621,273.827
11,Red,no_legal_moves,71,55024.785,239.15
12,Red,no_legal_moves,79,61116.853,250.983
13,Black,long_check,95,73282.921,329.472
14,Red,no_legal_moves,105,81085.338,340.087
15,Red,no_legal_moves,31,24515.708,155.288
16,Red,no_legal_moves,75,58091.694,211.029
17,Red,no_legal_moves,71,55037.694,216.727
18,Red,no_legal_moves,55,42841.274,183.368
19,Black,long_check,175,133817.749,294.107
20,Red,no_legal_moves,91,70491.358,194.759
