game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,85,13404.769,280.871
2,Black,long_check,257,40284.319,291.276
3,Red,no_legal_moves,165,25508.794,229.648
4,Black,long_check,95,14694.803,236.245
5,Draw,move_limit,300,47656.367,359.551
6,Red,no_legal_moves,53,8179.148,207.307
7,Red,no_legal_moves,81,12871.253,323.601
8,Red,no_legal_moves,81,12942.283,260.877
9,Black,long_check,221,34668.95,284.129
10,Red,no_legal_moves,25,3380.003,82.362
11,Red,no_legal_moves,17,2022.084,70.492
12,Red,no_legal_moves,47,6748.144,137.926
13,Red,no_legal_moves,93,14566.526,406.649
14,Red,no_legal_moves,45,6627.806,256.954
15,Red,no_legal_moves,89,14072.533,382.248
16,Red,no_legal_moves,61,9241.225,280.159
17,Red,no_legal_moves,95,14828.277,234.009
18,Red,no_legal_moves,95,14552.39,205.366
19,Red,no_legal_moves,101,16191.059,334.587
20,Black,long_check,163,25028.178,328.365
