game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,61,42439.278,42428.536
2,Red,no_legal_moves,203,149445.168,150040.505
3,Red,no_legal_moves,49,33294.118,33546.068
4,Red,long_check,58,39303.383,41313.326
5,Black,no_legal_moves,94,65516.932,68377.05
6,Red,no_legal_moves,9,4561.193,4573.207
7,Red,long_check,46,30241.771,32121.989
8,Red,no_legal_moves,55,37812.546,37892.392
9,Black,no_legal_moves,98,69454.054,71759.907
10,Red,no_legal_moves,35,24269.793,24407.508
11,Red,no_legal_moves,97,68857.227,70098.842
12,Black,no_legal_moves,86,60405.018,62484.771
13,Black,no_legal_moves,132,96675.425,98954.139
14,Black,no_legal_moves,172,126659.151,128817.951
15,Black,no_legal_moves,104,75494.015,77823.552
16,Black,no_legal_moves,66,45360.213,47225.969
17,Red,no_legal_moves,77,54536.857,54606.985
18,Red,no_legal_moves,41,27281.827,27372.546
19,Black,no_legal_moves,92,65006.674,67230.542
20,Draw,move_limit,300,218577.743,223167.613
