game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,33,13828.474,13158.696
2,Draw,move_limit,300,97884.607,121188.106
3,Red,long_chase,94,38035.994,38646.151
4,Black,no_legal_moves,32,14029.697,14370.218
5,Black,no_legal_moves,106,42981.111,43531.18
6,Red,no_legal_moves,123,50214.592,49968.906
7,Black,no_legal_moves,202,69371.462,69822.376
8,Black,no_legal_moves,84,33814.019,34536.278
9,Red,no_legal_moves,43,17839.335,17270.651
10,Red,no_legal_moves,65,26667.808,26117.74
11,Black,no_legal_moves,62,25134.555,25776.434
12,Red,long_check,84,33982.956,34691.619
13,Black,no_legal_moves,56,22657.402,23103.594
14,Red,long_check,176,71008.542,71999.971
15,Black,no_legal_moves,108,43621.697,44140.047
16,Black,no_legal_moves,30,12148.288,12403.281
17,Black,no_legal_moves,94,37903.082,38431.899
18,Black,no_legal_moves,40,16184.866,16497.153
19,Red,long_check,120,48287.622,49503.959
20,Black,no_legal_moves,118,47677.551,48170.016
