game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,57,39510.492,138.009
2,Red,no_legal_moves,35,22756.538,108.869
3,Red,no_legal_moves,87,62018.992,209.103
4,Red,no_legal_moves,21,12115.112,79.956
5,Red,no_legal_moves,43,28850.423,83.705
6,Red,no_legal_moves,83,60618.763,215.921
7,Red,no_legal_moves,75,52934.518,190.088
8,Red,no_legal_moves,31,19741.716,104.782
9,Red,no_legal_moves,33,21262.214,132.979
10,Red,no_legal_moves,65,46930.724,152.478
11,Red,no_legal_moves,15,7601.398,46.196
12,Red,no_legal_moves,31,19777.871,119.529
13,Red,no_legal_moves,103,75690.289,346.326
14,Red,no_legal_moves,143,105631.151,519.638
15,Red,no_legal_moves,69,49862.913,263.754
16,Red,no_legal_moves,67,47016.12,105.822
17,Red,no_legal_moves,85,60676.218,189.778
18,Red,no_legal_moves,29,18170.653,86.905
19,Red,no_legal_moves,63,43939.163,154.671
20,Red,no_legal_moves,57,39475.185,81.504
