game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,no_legal_moves,43,17846.247,135.112
2,Red,no_legal_moves,35,14610.063,107.521
3,Red,no_legal_moves,65,26713.917,137.396
4,Red,no_legal_moves,65,26760.789,119.728
5,Red,no_legal_moves,79,32415.078,149.095
6,Red,no_legal_moves,43,17835.777,149.373
7,Red,no_legal_moves,73,30034.446,127.176
8,Red,no_legal_moves,53,21903.348,125.365
9,Red,no_legal_moves,103,42187.995,183.7
10,Red,no_legal_moves,51,21149.081,113.201
11,Red,no_legal_moves,51,21124.799,101.059
12,Red,no_legal_moves,119,48779.811,232.093
13,Red,no_legal_moves,13,5694.118,52.321
14,Red,no_legal_moves,83,33988.049,187.637
15,Red,no_legal_moves,65,26862.585,152.241
16,Red,no_legal_moves,87,35654.623,145.37
17,Red,no_legal_moves,93,38179.718,173.381
18,Red,no_legal_moves,49,20353.123,99.444
19,Red,no_legal_moves,95,39012.525,202.35
20,Red,no_legal_moves,83,34139.625,153.71
