game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Red,long_check,126,259.446,20708.498
2,Black,no_legal_moves,50,214.488,8138.345
3,Black,no_legal_moves,86,349.03,14051.15
4,Black,no_legal_moves,88,293.281,14681.622
5,Red,long_check,188,232.401,30179.864
6,Black,no_legal_moves,32,130.804,5331.297
7,Red,long_check,260,270.014,41283.153
8,Black,no_legal_moves,66,213.458,11052.485
9,Black,no_legal_moves,66,181.647,10704.822
10,Black,no_legal_moves,64,298.238,10712.12
11,Black,no_legal_moves,82,149.526,13248.138
12,Black,no_legal_moves,12,66.753,1969.176
13,Black,no_legal_moves,74,304.901,12400.155
14,Black,no_legal_moves,92,337.228,15282.432
15,Black,no_legal_moves,208,347.053,33481.729
16,Black,no_legal_moves,170,455.606,27310.724
17,Black,no_legal_moves,92,267.149,15045.069
18,Black,no_legal_moves,144,336.093,23339.787
19,Black,no_legal_moves,94,314.766,15657.803
20,Black,no_legal_moves,130,419.89,21004.413
