game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,92,224.316,14280.037
2,Red,long_check,94,314.095,14684.65
3,Black,no_legal_moves,60,253.991,9272.187
4,Black,no_legal_moves,90,184.347,14679.452
5,Black,no_legal_moves,76,210.097,12003.008
6,Black,no_legal_moves,82,335.812,12705.522
7,Black,no_legal_moves,92,268.443,14112.905
8,Black,no_legal_moves,78,250.429,12395.453
9,Black,no_legal_moves,88,294.315,13939.202
10,Black,no_legal_moves,36,191.667,5276.248
11,Black,no_legal_moves,66,242.083,10290.609
12,Black,no_legal_moves,76,338.669,12126.193
13,Black,no_legal_moves,52,225.46,7970.861
14,Black,no_legal_moves,112,296.186,17234.029
15,Black,no_legal_moves,48,159.803,7462.269
16,Red,long_check,92,253.027,14546.158
17,Black,no_legal_moves,72,253.555,11225.392
18,Black,no_legal_moves,70,218.533,10985.39
19,Draw,move_limit,300,266.085,48091.0
20,Black,no_legal_moves,90,291.825,14146.314
