game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,38,97.972,25779.302
2,Black,no_legal_moves,48,175.72,33400.287
3,Black,no_legal_moves,96,237.755,69484.3
4,Black,no_legal_moves,46,108.727,33343.48
5,Black,no_legal_moves,24,115.028,15151.951
6,Black,no_legal_moves,100,227.942,72639.049
7,Black,no_legal_moves,66,183.354,46901.275
8,Black,no_legal_moves,64,182.566,45366.583
9,Black,no_legal_moves,76,199.609,54607.631
10,Black,no_legal_moves,40,133.008,27180.445
11,Black,no_legal_moves,26,121.175,16665.077
12,Black,no_legal_moves,42,178.528,28870.772
13,Black,no_legal_moves,102,268.367,74148.216
14,Black,no_legal_moves,24,65.814,15206.073
15,Black,no_legal_moves,70,201.851,49998.785
16,Black,no_legal_moves,60,230.302,42518.128
17,Black,no_legal_moves,46,116.291,31820.522
18,Black,no_legal_moves,74,260.594,53037.79
19,Black,no_legal_moves,156,428.05,116434.989
20,Black,no_legal_moves,68,186.953,48443.167
