game,winner,reason,plies,red_total_time_ms,black_total_time_ms
1,Black,no_legal_moves,100,184.367,15473.162
2,Black,no_legal_moves,112,304.611,17249.529
3,Black,no_legal_moves,74,135.541,11493.944
4,Black,no_legal_moves,118,154.251,18245.136
5,Black,no_legal_moves,102,231.856,15737.049
6,Black,no_legal_moves,30,177.891,4699.06
7,Black,no_legal_moves,50,106.367,7773.712
8,Black,no_legal_moves,78,207.533,12148.577
9,Black,no_legal_moves,72,253.771,11218.84
10,Black,no_legal_moves,88,172.131,13659.062
11,Black,no_legal_moves,68,163.601,10533.598
12,Black,no_legal_moves,80,216.385,12374.008
13,Black,no_legal_moves,38,136.943,5942.823
14,Black,no_legal_moves,70,129.331,10845.25
15,Black,no_legal_moves,24,80.146,3730.569
16,Black,no_legal_moves,34,116.529,5334.599
17,Black,no_legal_moves,84,151.364,13013.216
18,Black,no_legal_moves,152,645.089,23837.561
19,Black,no_legal_moves,88,112.187,13723.161
20,Black,no_legal_moves,104,316.125,16162.839
